2023-03-31T12:00:00Z,Maritime transport: Commission continues to recognise Filipino seafarer’s certificates ,"The Commission has decided to continue recognising certificates for seafarers issued by the Philippines, one of the world’s largest maritime labour supply countries.",News article,/news-events/news/maritime-transport-commission-continues-recognise-filipino-seafarers-certificates-2023-03-31_en
2023-03-30T12:00:00Z,European Commission publishes key indicators of road safety in Europe,The Commission has published the results of the Baseline project on 8 key performance indicators that influence road safety in Europe.,News article,https://road-safety.transport.ec.europa.eu/news-events/news/european-commission-publishes-key-indicators-road-safety-europe-2023-03-30_en
2023-03-28T12:00:00Z,European Green Deal: ambitious new law agreed to deploy sufficient alternative fuels infrastructure,The Commission welcomes the political agreement reached between the European Parliament and the Council to boost the number of publicly accessible electric recharging and hydrogen refuelling stations in particular across the European Union's main transport corridors and hubs.,News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_23_1867
2023-03-24T12:00:00Z,European urban mobility awards: Braga and Metropolia GZM rewarded for their green mobility actions,The Commission presented the European urban mobility awards for 2022.,News article,/news-events/news/european-urban-mobility-awards-braga-and-metropolia-gzm-rewarded-their-green-mobility-actions-2023-03-24_en
2023-03-23T12:00:00Z,European Green Deal: Agreement reached on cutting maritime transport emissions by promoting sustainable fuels for shipping,"The Commission welcomes the political agreement reached between the Parliament and the Council that increases the maritime transport sector's contribution to reaching the EU-wide target of reducing net greenhouse gas emissions by at least 55% by 2030, and to achieving climate neutrality in 2050.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_23_1813
2023-03-20T12:00:00Z,Reducing transport emissions: Commission adopts guidelines to improve vehicle inspections,The European Commission today published a recommendation to improve the periodical technical inspection of vehicles.,News article,/news-events/news/reducing-transport-emissions-commission-adopts-guidelines-improve-vehicle-inspections-2023-03-20_en
2023-03-15T12:00:00Z,Alternative fuels infrastructure: €189 million in EU funding for projects supporting greener mobility,The Commission announced 26 projects from 12 Member States selected for funding to install alternative fuels infrastructure along the trans-European transport network (TEN-T).,News article,/news-events/news/alternative-fuels-infrastructure-eu189-million-eu-funding-projects-supporting-greener-mobility-2023-03-15_en
2023-03-14T12:00:00Z,,"The modernisation of 178 km of the Palermo-Catania line will reduce current travel times by a third, linking the two cities with a direct two-hour rail service, which will have a significant impact on economic, social, and sustainable development in Sicily.",News article,
2023-03-09T12:00:00Z,Commission guides Member States on sustainable urban mobility planning,"On 8 March, the Commission adopted a Recommendation designed to help Member States support their towns and cities in cutting transport emissions and improving urban mobility.",News article,/news-events/news/commission-guides-member-states-sustainable-urban-mobility-planning-2023-03-09_en
2023-03-07T12:00:00Z,Sustainable Transport Forum – new membership appointments,Appointment of the Members of the group of experts on alternative transport fuels ('the Sustainable Transport Forum'),News article,/news-events/news/sustainable-transport-forum-new-membership-appointments-2023-03-07_en
2023-03-01T12:00:00Z,European Commission proposes updated requirements for driving licences and better cross-border enforcement of road traffic rules,Commission proposes updated requirements for driving licences and better cross-border enforcement of road traffic rules,News article,/news-events/news/european-commission-proposes-updated-requirements-driving-licences-and-better-cross-border-2023-03-01_en
2023-02-28T12:00:00Z,,The finalists for the EUROPEANMOBILITYWEEK award 2022 and the first-ever MOBILITYACTION award have been announced.,News article,
2023-02-21T12:00:00Z,Road safety in the EU: fatalities below pre-pandemic levels but progress remains too slow,"Road safety in the EU 2022: Around 20,600 people were killed in road crashes last year",News article,/news-events/news/road-safety-eu-fatalities-below-pre-pandemic-levels-progress-remains-too-slow-2023-02-21_en
2023-02-15T12:00:00Z,February infringements package: key decisions,February infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_525
2023-02-15T12:00:00Z,Public workshop on the Multimodal Digital Mobility Services initiative,"The Commission will organise a stakeholder workshop on the ongoing impact assessment on the initiative on Multimodal Digital Mobility Services (MDMS), including the retained provisions from the Code of Conduct of Computerised Reservation Systems.",News article,/news-events/news/public-workshop-multimodal-digital-mobility-services-initiative-2023-02-15_en
2023-02-09T12:00:00Z,Union for the Mediterranean: Transport Ministers reaffirm Euro-Mediterranean cooperation,The Transport Ministers of the Union for the Mediterranean (UfM) reaffirmed the shared objectives of regional cooperation by adopting the UfM Ministerial Declaration and a new Regional Transport Action Plan (RTAP) when they met on 9 February.,News article,/news-events/news/union-mediterranean-transport-ministers-reaffirm-euro-mediterranean-cooperation-2023-02-09_en
